0,,171.75,167.95,23,2;4;20;
1,,125.4,76.661,239,0;211;
2,,136.12,118.29,240,0;220;221;
3,,113.56,88.127,232,1;210;
4,,126.4,74.916,233,1;154;211;
5,,149.17,124.45,25,2;3;6;
6,,149.47,114.02,23,3;4;5;
7,,122.69,71.037,26,5;7;9;
8,,148.13,124.04,35,6;26;33;
9,,118.09,79.96,26,7;8;273;
10,,121.98,91.726,39,8;82;105;
11,,78.131,78.79,20,9;10;91;
12,,85.239,108.34,10,10;11;
13,,9.5704,195.4,12,11;
14,,64.489,85.116,32,12;13;27;
15,,64.528,78.759,29,12;15;91;
16,,43.273,99.638,28,13;14;
17,,32.93,136.69,32,14;55;
18,,51.455,48.775,29,15;16;17;
19,,79.147,40.02,33,17;19;106;
20,,37.732,23.149,25,16;
21,,136.51,58.696,56,18;19;46;
22,,121.49,45.916,58,18;95;106;
23,,142.43,207.35,25,20;21;22;
24,,133.39,213.08,26,21;90;
25,,152.58,173.48,49,22;24;265;
26,,201.89,48.239,23,23;
27,,176.01,74.604,30,23;40;96;
28,,208.25,165.74,34,266;267;281;
29,,151.69,166.33,54,24;84;263;
30,,192.53,142.15,58,25;84;269;
31,,207.1,142.51,67,25;
32,,168.12,112.91,40,26;29;82;
33,,33.946,122.56,48,27;274;
34,,198.19,127.03,34,28;29;268;
35,,197.79,103.21,35,28;30;32;
36,,199.9,83.212,36,30;40;
37,,132.39,90.224,60,31;44;45;
38,,145.25,94.512,65,31;32;
39,,118.1,107.02,57,44;
40,,104.52,110.59,58,47;
41,,118.8,131.8,37,33;
42,,99.72,133.48,35,273;
43,,120.94,152.46,60,34;35;261;
44,,111.54,136.18,47,34;
45,,116.66,163.01,71,35;73;75;
46,,103.91,189.44,39,37;90;93;
47,,62.591,184.88,39,36;38;54;
48,,91.063,192.43,37,36;37;
49,,46.029,198.71,37,38;39;
50,,25.832,206.73,36,39;
51,,196.33,213.9,35,
52,,48.61,34.336,39,41;42;
53,,85.391,62.812,54,41;49;105;
54,,58.174,2.0728,53,42;43;
55,,14.723,44.648,59,43;51;109;
56,,141.02,74.502,59,45;46;48;102;
57,,88.574,93.113,62,47;49;65;
58,,172.69,64.587,54,48;96;
59,,0.074445,98.292,52,274;
60,,14.736,83.424,60,50;52;264;
61,,11.882,56.5,60,50;51;
62,,39.179,80.694,70,52;56;57;61;
63,,57.743,34.709,103,53;59;109;
64,,67.049,79.283,105,116;117;124;
65,,39.039,36.942,129,53;254;257;
66,,77.754,33.914,81,58;59;60;
67,,64.949,167.4,39,54;55;56;
68,,64.632,58.296,77,57;58;95;
69,,100.73,10.223,79,60;156;
70,,51.121,119.84,88,61;62;63;
71,,65.079,121.66,87,62;65;67;
72,,5.7767,142.5,72,63;64;
73,,6.6247,162.82,60,64;107;
74,,116.49,115.03,89,66;
75,,108.25,132.62,91,66;67;69;
76,,84.666,91.983,128,68;158;174;
77,,83.131,117.39,124,68;69;111;
78,,65.152,143.28,129,70;114;173;
79,,84.855,168.8,93,70;71;72;
80,,86.599,165.38,84,71;73;94;
81,,77.177,199.96,64,72;92;
82,,119.54,196.41,80,74;77;
83,,118.49,179.52,79,74;75;76;
84,,136.47,168.98,121,76;103;136;
85,,124.01,204.49,122,78;79;81;
86,,124.99,201.14,81,77;78;
87,,65.372,212.71,109,79;80;256;
88,,92.312,205.03,135,80;131;
89,,124.35,206.63,137,81;132;138;
90,,192.56,204.97,56,83;104;270;
91,,194.55,210.93,47,83;
92,,170.73,152.36,79,85;110;262;
93,,198.48,139.52,98,85;
94,,210.72,192.67,99,86;
95,,207.84,171.52,104,86;89;
96,,207.76,201.05,113,87;
97,,203.78,207.59,117,87;88;
98,,168.34,208.48,115,88;89;
99,,132.27,122.9,113,129;130;258;
100,,61.522,177.29,63,92;93;94;
101,,187.96,56.192,102,97;101;102;
102,,203.7,25.122,118,97;98;
103,,219.73,22.015,123,98;
104,,211.97,36.673,85,100;101;
105,,114.72,78.273,99,99;100;124;
106,,117.52,92.806,98,99;
107,,162.98,205.46,79,103;104;
108,,26.022,186.3,59,107;108;113;
109,,25.488,203.14,56,108;
110,,140.62,133.37,105,110;128;
111,,125.83,109.49,105,127;
112,,38.393,166.48,78,111;112;113;
113,,15.641,147.81,98,112;114;115;
114,,11.131,128.35,117,115;117;
115,,61.846,77.933,107,116;
116,,16.197,201.36,117,118;121;
117,,13.792,212.55,129,118;120;
118,,39.495,175.68,132,119;
119,,47.514,156.77,145,119;143;236;
120,,6.3199,211.35,153,120;
121,,27.668,196.62,102,121;248;
122,,31.477,203.83,92,255;
123,,152.35,54.871,129,122;
124,,151.45,66.698,133,122;123;172;
125,,138.12,78.926,131,123;
126,,24.38,76.95,152,125;126;250;253;
127,,21.674,64.522,172,125;242;
128,,22.976,78.855,147,126;
129,,9.7208,83.865,112,253;
130,,129.85,120.15,107,127;128;129;
131,,126.04,132.28,119,130;140;160;
132,,92.969,195.08,148,131;135;160;
133,,92.568,217.93,162,132;134;
134,,103.49,217.13,191,133;
135,,91.365,214.33,165,133;134;135;
136,,122.03,175.44,171,140;141;275;
137,,108.5,215.33,192,275;
138,,174.06,209.01,158,136;
139,,168.17,127.82,234,137;167;168;
140,,155.72,154.6,180,137;138;139;
141,,160.53,133.8,156,139;189;238;
142,,127.56,115.46,176,141;161;181;
143,,114.57,163.14,207,142;169;170;
144,,86.825,162.53,200,142;144;146;
145,,57.438,151.39,150,143;144;145;
146,,55.012,105.32,226,145;212;239;
147,,60.926,152.13,203,146;147;225;
148,,31.559,145.51,217,147;229;279;
149,,24.343,72.539,224,148;280;
150,,29.489,68.631,226,148;149;
151,,62.219,46.971,225,149;
152,,112.56,14.868,234,150;
153,,122.41,21.183,228,150;151;
154,,140.55,42.13,224,151;152;206;
155,,136.84,55.36,226,152;153;154;
156,,143.05,70.495,224,153;155;
157,,103.73,65.313,220,155;239;
158,,99,6.464,91,156;157;
159,,121.82,10.136,99,157;158;159;
160,,165.41,5.1536,85,159;
161,,197.99,156.04,183,161;164;
162,,196.77,186.23,220,162;163;
163,,166.24,88.017,195,162;201;217;
164,,199.36,175.51,230,163;
165,,204.93,107.93,231,167;208;
166,,172.48,189.91,201,164;221;252;
167,,147.04,210.55,226,165;252;
168,,141.37,205.37,228,165;166;
169,,165.57,215.93,234,166;168;
170,,127.45,199.8,219,169;
171,,126.4,130.3,206,171;215;219;
172,,117.47,159.58,205,170;171;241;
173,,121.86,83.968,124,179;
174,,58.709,46.251,134,178;257;
175,,175.27,60.075,138,172;
176,,84.139,91.307,158,175;176;177;180;
177,,67.275,108.62,138,173;174;175;
178,,28.078,121,169,176;226;249;
179,,73.395,36.604,172,177;191;192;198;
180,,92.403,65.505,141,178;179;180;
181,,111.79,101.55,178,181;182;199;
182,,124.76,79.701,175,182;
183,,147.8,74.752,158,186;
184,,179.8,75.392,165,183;184;187;
185,,215.21,45.909,159,183;237;
186,,187.99,61.952,171,184;185;
187,,140.25,12.544,148,185;
188,,161.11,74.752,160,186;187;188;
189,,212.57,150.84,140,188;259;
190,,157.87,124.07,137,189;260;
191,,122.37,44.032,157,190;191;
192,,131.93,68.267,150,190;
193,,68.122,75.135,199,192;193;223;
194,,96.634,72.183,196,193;196;197;
195,,100.88,43.599,196,194;
196,,80.794,14.871,192,194;195;
197,,68.266,17.175,195,195;243;245;
198,,106.5,64.047,194,196;
199,,98.578,93.078,203,197;214;231;
200,,63.039,38.142,160,198;235;250;
201,,93.25,104.64,181,199;215;222;238;
202,,151.43,50.583,187,200;
203,,164.89,23.367,190,200;246;247;
204,,149.18,64.811,192,216;
205,,182.88,82.595,188,201;202;
